1960,31.515,2345.6443242687,15482.707759617,1.2214514017
1961,32.064,2315.9407278431,15578.409657476,1.2343212366
1962,32.598,2387.4041419015,16276.4266848755,1.2473266125
1963,33.137,2543.4079789756,16749.7894363028,1.260469079
1964,33.68,2620.6344999179,17476.8222480189,1.2737499475
1965,34.227,2633.1570846211,18364.3123409752,1.2871707678
1966,34.949,2862.1091942731,19333.4180125141,1.2919371128
1967,35.759,2930.109213549,19602.1431048616,1.2967209816
1968,36.577,3058.2246014275,20338.9522563581,1.3015224934
1969,37.401,3110.6105918735,20765.5352795981,1.3063418865
1970,38.234,3137.0512204304,21183.2177948312,1.3111791611
1971,38.945,3233.9257637359,21606.394645386,1.3206583261
1972,39.6,3391.4670429742,22501.4191940239,1.3302060366
1973,40.258,3418.5485657948,23545.3911489943,1.3398227692
1974,40.92,3524.3672726474,23210.5874476311,1.34950912
1975,41.586,3689.2089865116,22937.4266414679,1.3592654467
1976,42.087,3982.1529343569,23944.2496183197,1.3805406094
1977,42.508,4025.5062707717,24797.0831433669,1.4021487236
1978,42.931,3995.148071308,25900.3268313208,1.4240949154
1979,43.355,3881.465285902,26429.5553954701,1.4463847876
1980,43.78,3700.7971285008,26113.124667955,1.4690234661
1981,45.189,3791.4956077937,26528.9806494372,1.5128366947
1982,46.997,3836.0145273978,25775.1467540784,1.5579565763
1983,48.812,3934.7765989287,26723.6931022565,1.6044222116
1984,50.634,4105.9329408092,28416.4861727731,1.6522736549
1985,52.448,4189.5755381155,29359.6658002752,1.7015521526
1986,53.93,4393.2120812511,30111.0982701405,1.7227784395
1987,55.261,4717.6462518047,30876.2504942138,1.7423551083
1988,56.587,4738.4474761063,31883.4595837412,1.7621542215
1989,57.899,4668.0155094976,32746.215964996,1.7821784019
1990,59.203,5012.8944345694,32999.8407125944,1.8024300337
1991,59.976,4964.8747322914,32537.6866671015,1.812666893
1992,60.518,5130.6414562518,33230.4512667962,1.8229619265
1993,61.055,5435.9005408471,33695.6316743714,1.8333153725
1994,61.59,5101.0677179579,34628.8741768747,1.8437277079
1995,62.123,5417.040845606,35149.368770288,1.8541990519
1996,62.653,5725.8894449827,36061.6021826604,1.8818238974
1997,63.179,6063.6378193239,37228.7671964137,1.9098602533
1998,63.703,6107.45137256,38434.7530818274,1.9383144379
1999,64.223,5811.84080726,39776.1004175797,1.9671924114
2000,64.741,6112.876572731,40945.6338265716,1.9965006113
2001,65.332,5679.9424920722,40938.063069876,2.0174510479
2002,65.953,5942.7252712741,41284.4506462466,2.0386214256
2003,66.569,6167.1458942652,42079.9842065711,2.0600140095
2004,67.18,6652.5760411978,43270.701947715,2.0816311836
2005,67.783,7117.2332413219,44307.9205848603,2.1034748554
2006,68.382,7514.3890446565,45052.9212540208,2.1251997948
2007,68.975,7773.4710501763,45420.1873610748,2.1471488476
2008,69.562,7732.4876793492,44861.3908949658,2.1693246365
2009,70.141,7264.631829528,43235.5584093416,2.1917295456
2010,70.715,7814.8012367182,43961.1684770664,2.2143657207
2011,71.282,8397.14283292,44324.9445222204,2.2458407879
2012,71.834,8471.6418560046,45008.6141128891,2.2777628899
2013,72.37,8719.6206498281,45660.7338016472,2.3101391792
2014,72.891,8864.743180039,46405.2470647913,2.342975378
