1950,1.1417694092,
1951,1.1495553255,
1952,1.1573941708,
1953,1.1652866602,1.8266019821
1954,1.1732327938,1.8419846296
1955,1.1812331676,1.8574967384
1956,1.1891695261,1.806920886
1957,1.1971590519,1.7577222586
1958,1.2052023411,1.7098631859
1959,1.2132996321,1.6485948563
1960,1.2214514017,1.5893073082
1961,1.2343212366,1.6320868731
1962,1.2473266125,1.6760179996
1963,1.260469079,1.718174696
1964,1.2737499475,1.7529191971
1965,1.2871707678,1.7883663177
1966,1.2919371128,1.8245302439
1967,1.2967209816,1.861425519
1968,1.3015224934,1.8990666866
1969,1.3063418865,1.937469244
1970,1.3111791611,1.9766483307
1971,1.3206583261,2.0149726868
1972,1.3302060366,2.0540401936
1973,1.3398227692,2.0938651562
1974,1.34950912,2.1344623566
1975,1.3592654467,2.1758465767
1976,1.3805406094,2.2180330753
1977,1.4021487236,2.2610375881
1978,1.4240949154,2.3048758507
1979,1.4463847876,2.3495643139
1980,1.4690234661,2.3951189518
1981,1.5128366947,2.44942379
1982,1.5579565763,2.5049598217
1983,1.6044222116,2.5611753464
1984,1.6522736549,2.6001284122
1985,1.7015521526,2.6396739483
1986,1.7227784395,2.6798210144
1987,1.7423551083,2.7205784321
1988,1.7621542215,2.7619559765
1989,1.7821784019,2.8039627075
1990,1.8024300337,2.8466084003
1991,1.812666893,2.8794102669
1992,1.8229619265,2.9125902653
1993,1.8333153725,2.9461524487
1994,1.8437277079,2.980101347
1995,1.8541990519,3.0144412518
1996,1.8818238974,3.0491771698
1997,1.9098602533,3.0843133926
1998,1.9383144379,3.1198542118
1999,1.9671924114,3.1558046341
2000,1.9965006113,3.1921694279
2001,2.0174510479,3.2187290192
2002,2.0386214256,3.2455096245
2003,2.0600140095,3.2725129128
2004,2.0816311836,3.2997410297
2005,2.1034748554,3.3271956444
2006,2.1251997948,3.354878664
2007,2.1471488476,3.382791996
2008,2.1693246365,3.4109375477
2009,2.1917295456,3.4393172264
2010,2.2143657207,3.4679331779
2011,2.2458407879,3.4984607697
2012,2.2777628899,3.5295772552
2013,2.3101391792,3.561296463
2014,2.342975378,3.5936331749
