1870,3190.4340127389,2444.6436654278,530,737.3754972849,337.2727957009,824.9809208853
1871,3331.8750197254,2502.8468538615,NaN,742.0053105518,NaN,NaN
1872,3319.1654012675,2540.9388646288,NaN,746.0053357813,NaN,NaN
1873,3364.6976411723,2604.2525594108,NaN,751.0122611919,NaN,NaN
1874,3386.444109412,2527.2550438795,NaN,756.179934724,NaN,NaN
1875,3433.6683821067,2598.5854790585,NaN,809.8543853708,NaN,NaN
1876,3430.1604216868,2570.3545271891,NaN,784.5602441688,NaN,NaN
1877,3425.1970455087,2595.3935552034,NaN,802.6542284413,NaN,NaN
1878,3402.5006483555,2645.9617054712,NaN,793.749139474,NaN,NaN
1879,3352.5074626866,2909.4331983806,NaN,835.4077194518,NaN,NaN
1880,3477.3199318372,3183.9549724523,NaN,863.3955497596,NaN,NaN
1881,3568.4267926149,3215.4494327735,NaN,829.3004957965,NaN,NaN
1882,3643.040334034,3337.9599072171,NaN,844.175976907,NaN,NaN
1883,3643.3102961918,3338.5870265692,NaN,837.2080707515,NaN,NaN
1884,3621.6540141082,3320.2806007735,NaN,835.7019245896,NaN,NaN
1885,3573.6807996668,3269.959035848,NaN,860.1243917038,NaN,NaN
1886,3600.0241235921,3294.0650574238,NaN,916.446584848,NaN,NaN
1887,3713.1507186185,3368.2546090701,NaN,951.5257551588,NaN,NaN
1888,3849.0978010358,3281.6637028255,NaN,899.5949147792,NaN,NaN
1889,4023.7664210017,3413.2804437565,NaN,932.6748639387,NaN,NaN
1890,4008.7886354542,3391.8982812549,540.4710526316,1011.9419617237,NaN,NaN
1891,3975.1717369451,3467.263650715,NaN,956.4380138683,NaN,NaN
1892,3846.3196622437,3727.9955856922,NaN,1012.6947940222,NaN,NaN
1893,3810.7444531047,3478.4119825676,NaN,1008.3603082852,NaN,NaN
1894,4028.8928176227,3313.7995798136,NaN,1119.4156711004,NaN,NaN
1895,4117.7007725453,3644.2203547551,NaN,1123.4641532017,NaN,NaN
1896,4248.5639031289,3504.4280715561,NaN,1051.123495118,NaN,NaN
1897,4263.5121914622,3769.483296767,NaN,1061.9491123983,NaN,NaN
1898,4427.7241276838,3779.6917499085,NaN,1248.8829760111,NaN,NaN
1899,4566.9517082383,4051.367061299,NaN,1143.1368450007,NaN,NaN
1900,4491.8142145547,4090.7872916967,545.385,1179.5133664377,NaN,NaN
1901,4450.3975636766,4463.8631881676,NaN,1206.4631230129,NaN,NaN
1902,4525.2808822476,4420.630145088,NaN,1128.9048502928,NaN,NaN
1903,4439.6162950339,4550.8943740271,NaN,1192.6275386663,NaN,NaN
1904,4427.9439581329,4409.5320240044,NaN,1188.088253051,NaN,NaN
1905,4520.4757916289,4642.1638917609,NaN,1156.7547459907,NaN,NaN
1906,4631.0853531976,5079.1242392445,NaN,1297.2095411523,NaN,NaN
1907,4678.5787319661,5064.890426957,NaN,1325.1545574637,NaN,NaN
1908,4449.1916417369,4560.6159676604,NaN,1318.4389556569,NaN,NaN
1909,4510.523180593,5017.4959876713,NaN,1300.5424911498,NaN,NaN
1910,4610.780033841,4963.735703429,NaN,1303.7552607133,NaN,NaN
1911,4708.8999293099,5045.6839038988,NaN,1355.5780145375,455.1201278426,NaN
1912,4761.7473253203,5200.6984734021,NaN,1384.082605367,470.889394974,NaN
1913,4920.54590462,5300.7294633527,552.2967470376,1386.6891159622,485.4522701009,1213
1914,4926.5821190471,4799.2011356213,NaN,1326.5022139095,503.6528850538,NaN
1915,5288.2658178679,4864.1926174696,NaN,1429.7150064001,585.0946968138,NaN
1916,5384.3804015995,5458.6928998476,NaN,1629.7179596767,568.4544698049,NaN
1917,5421.0162183035,5247.7368735371,NaN,1665.0631923141,624.4664088909,NaN
1918,5459.3145679012,5658.9843937575,NaN,1668.4133294465,667.9782775819,NaN
1919,4870.407916792,5680.4064926569,NaN,1827.2143955984,706.2002556199,NaN
1920,4547.9136285,5552.3273640778,NaN,1695.7542907306,609.7060955478,NaN
1921,4439.1513432565,5322.7335909108,NaN,1859.5025314215,652.4800791252,NaN
1922,4636.9351843505,5539.8436787227,NaN,1831.1224807286,594.4816863125,NaN
1923,4759.7096152121,6164.1990354756,NaN,1809.3504841466,631.4437740771,712.1135692152
1924,4920.9420460871,6232.5506730215,NaN,1836.3172136455,630.1832848375,846.1483390607
1925,5144.4944628154,6282.4188710399,NaN,1885.1617553174,625.017301543,935.9840671456
1926,4936.1136363636,6602.4422138694,NaN,1871.5777814515,643.0340794007,1079.4290156173
1927,5314.9382449492,6576.4989456244,NaN,1869.7665472896,665.2826023257,974.4561403509
1928,5356.9653341525,6569.3454464293,NaN,1992.3718670323,664.4051392322,1063.0008289583
1929,5503.3180504467,6898.7221563254,562.4978194975,2025.7346783885,624.0056605783,1213.328799728
1930,5440.8624689312,6212.7127066016,567.6216768916,1850.3913212778,585.8178351524,1249.2631296892
1931,5138.4158527586,5691.3665963268,569.1640954855,1837.340940112,584.0908114103,1302.4252010017
1932,5148.253285853,4908.3657801588,582.9133983603,1961.5832842315,580.2285016484,1204.6191773712
1933,5277.4607480654,4776.9154778887,578.608,2122.435622637,696.1930146319,1341.6145101546
1934,5607.5080358291,5113.6075934414,525.4088918687,2098.3416360699,690,1351.1253614988
1935,5799.0052914569,5466.8379464879,564.8278619096,2120.4684855137,746.6392113388,1357.0367619755
1936,6035.1685393259,6203.8837823766,597.3572670235,2244.4213991535,802.3289906782,1587.7449190702
1937,6217.6185159339,6430.1214777853,579.7489425035,2315.1162911417,871.8571735876,1612.2571001495
