1960,27.71,1106.7577536991,15482.707759617
1961,28.531,1127.4360492273,15578.409657476
1962,29.461,1122.5907190979,16276.4266848755
1963,30.407,1195.8233771868,16749.7894363028
1964,31.372,1253.0382296008,17476.8222480189
1965,32.351,1284.9875875965,18364.3123409752
1966,33.347,1412.2220959995,19333.4180125141
1967,34.971,1463.7863959811,19602.1431048616
1968,36.846,1597.544581989,20338.9522563581
1969,38.756,1782.0050803799,20765.5352795981
1970,40.704,1967.868470443,21183.2177948312
1971,42.261,2130.914040864,21606.394645386
1972,43.692,2227.4726316611,22501.4191940239
1973,45.131,2512.0451375674,23545.3911489943
1974,46.579,2701.0632189428,23210.5874476311
1975,48.033,2850.8946708535,22937.4266414679
1976,49.719,3183.2704664341,23944.2496183197
1977,51.476,3504.3985065133,24797.0831433669
1978,53.233,3806.989781707,25900.3268313208
1979,54.981,4064.2651578538,26429.5553954701
1980,56.72,3925.7598519681,26113.124667955
1981,58.407,4151.1507267816,26528.9806494372
1982,60.061,4426.3954854265,25775.1467540784
1983,61.693,4892.9521321283,26723.6931022565
1984,63.301,5309.4265335282,28416.4861727731
1985,64.876,5650.1873853852,29359.6658002752
1986,66.679,6278.9886053504,30111.0982701405
1987,68.563,6980.0671084889,30876.2504942138
1988,70.389,7718.0261187727,31883.4595837412
1989,72.148,8158.0608810373,32746.215964996
1990,73.844,8829.1344385676,32999.8407125944
1991,74.972,9591.2937829233,32537.6866671015
1992,75.82,10039.3852823368,33230.4512667962
1993,76.645,10566.9293717083,33695.6316743714
1994,77.452,11378.7827551744,34628.8741768747
1995,78.239,12270.8860604708,35149.368770288
1996,78.662,13027.9409409456,36061.6021826604
1997,78.905,13650.6227107869,37228.7671964137
1998,79.145,12778.0659727535,38434.7530818274
1999,79.384,14049.012440487,39776.1004175797
2000,79.621,15162.4031435044,40945.6338265716
2001,79.94,15731.6704648,40938.063069876
2002,80.299,16806.9339589129,41284.4506462466
2003,80.652,17214.1989817771,42079.9842065711
2004,81.002,17989.9693769931,43270.701947715
2005,81.345,18657.5212532106,44307.9205848603
2006,81.528,19528.3848876984,45052.9212540208
2007,81.631,20499.6474420377,45420.1873610748
2008,81.733,20928.4494062029,44861.3908949658
2009,81.835,20976.5262859881,43235.5584093416
2010,81.936,22236.0948884774,43961.1684770664
2011,82.037,22883.8299488322,44324.9445222204
2012,82.141,23303.0858654083,45008.6141128891
2013,82.249,23875.2312734349,45660.7338016472
2014,82.36,24565.6074931008,46405.2470647913
