1960,31.515,2345.6443242687,15482.707759617
1961,32.064,2315.9407278431,15578.409657476
1962,32.598,2387.4041419015,16276.4266848755
1963,33.137,2543.4079789756,16749.7894363028
1964,33.68,2620.6344999179,17476.8222480189
1965,34.227,2633.1570846211,18364.3123409752
1966,34.949,2862.1091942731,19333.4180125141
1967,35.759,2930.109213549,19602.1431048616
1968,36.577,3058.2246014275,20338.9522563581
1969,37.401,3110.6105918735,20765.5352795981
1970,38.234,3137.0512204304,21183.2177948312
1971,38.945,3233.9257637359,21606.394645386
1972,39.6,3391.4670429742,22501.4191940239
1973,40.258,3418.5485657948,23545.3911489943
1974,40.92,3524.3672726474,23210.5874476311
1975,41.586,3689.2089865116,22937.4266414679
1976,42.087,3982.1529343569,23944.2496183197
1977,42.508,4025.5062707717,24797.0831433669
1978,42.931,3995.148071308,25900.3268313208
1979,43.355,3881.465285902,26429.5553954701
1980,43.78,3700.7971285008,26113.124667955
1981,45.189,3791.4956077937,26528.9806494372
1982,46.997,3836.0145273978,25775.1467540784
1983,48.812,3934.7765989287,26723.6931022565
1984,50.634,4105.9329408092,28416.4861727731
1985,52.448,4189.5755381155,29359.6658002752
1986,53.93,4393.2120812511,30111.0982701405
1987,55.261,4717.6462518047,30876.2504942138
1988,56.587,4738.4474761063,31883.4595837412
1989,57.899,4668.0155094976,32746.215964996
1990,59.203,5012.8944345694,32999.8407125944
1991,59.976,4964.8747322914,32537.6866671015
1992,60.518,5130.6414562518,33230.4512667962
1993,61.055,5435.9005408471,33695.6316743714
1994,61.59,5101.0677179579,34628.8741768747
1995,62.123,5417.040845606,35149.368770288
1996,62.653,5725.8894449827,36061.6021826604
1997,63.179,6063.6378193239,37228.7671964137
1998,63.703,6107.45137256,38434.7530818274
1999,64.223,5811.84080726,39776.1004175797
2000,64.741,6112.876572731,40945.6338265716
2001,65.332,5679.9424920722,40938.063069876
2002,65.953,5942.7252712741,41284.4506462466
2003,66.569,6167.1458942652,42079.9842065711
2004,67.18,6652.5760411978,43270.701947715
2005,67.783,7117.2332413219,44307.9205848603
2006,68.382,7514.3890446565,45052.9212540208
2007,68.975,7773.4710501763,45420.1873610748
2008,69.562,7732.4876793492,44861.3908949658
2009,70.141,7264.631829528,43235.5584093416
2010,70.715,7814.8012367182,43961.1684770664
2011,71.282,8397.14283292,44324.9445222204
2012,71.834,8471.6418560046,45008.6141128891
2013,72.37,8719.6206498281,45660.7338016472
2014,72.891,8864.743180039,46405.2470647913
